"HealthDistrict","establishmentName","permitName","permitNumber","program","PermitType","status","RiskCategory","catering","commissary","smokingStatus","wasteWaterGrease","inspectionFrequency","ApplicationDate","OriginalIssueDate","PermitIssueDate","ExpirationDate","FacilityAddress","city","zip","FIPSCode","LocalityName"
"EHD - Richmond","Woody’s Inn","Woody's Inn","HMES-7LQQE6","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","None","NULL","11/25/2008","2/4/2009","2/4/2009","12/31/2009","2128 West Cary St","Richmond","23220","NULL","NULL"
"EHD - Prince William","Corbin Concessions","Corbin Concessions","LFAS-5KMS9B","Food Establishment","Mobile food unit","Surrendered","1","","NULL","","","NULL","3/14/2003","8/14/2003","8/14/2003","8/14/2004","2212 Little River Road","Haymarket","20169","NULL","NULL"
"EHD - Prince William","Suzy Q’s Tropical Snow # 1 & # 2","Suzy Q's Tropical Snow # 1","AVEA-5KULUQ","Food Establishment","Mobile food unit","Surrendered","1","","NULL","","","NULL","3/21/2003","3/21/2003","3/21/2003","3/21/2004","2212 Little River Road","Haymarket","20169","NULL","NULL"
"EHD - Prince William","Suzy Q’s Tropical Snow # 1 & # 2","Suzy Q's Tropical Snow # 2","AVEA-5QELAE","Food Establishment","Mobile food unit","Surrendered","1","","NULL","","","NULL","8/14/2003","8/14/2003","8/14/2003","8/14/2004","2212 Little River Road","Haymarket","20169","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Mae Malee’s Spring Rolls","Mae Malee's Spring Rolls","STUR-B4GKUC","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Smoke Free","","6","9/7/2018","9/10/2018","NULL","12/31/2018","4463  Weaver Pike","BLUFF CITY","37618","NULL","NULL"
"EHD - Richmond","Realitea","Realitea","HMES-8MQKAJ","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","None","NULL","10/17/2011","NULL","NULL","NULL","1531 West Main Street","Richmond","23220","NULL","NULL"
"EHD - Mount Rogers","117-CLOSED-Fee-Food-IN GOOD TASTE","117-Fee-Food-IN GOOD TASTE","SBAE-8UBJKS","Food Establishment","Mobile Food Unit","Surrendered","4","","NULL","Smoke Free","","NULL","5/11/2012","5/16/2012","5/16/2012","12/31/2012","Mobile Unit","HILLSVILLE","24343","NULL","NULL"
"EHD - Mount Rogers","117-CLOSED-Fee-Food-Mobile-DOGWOOD ENTERPRISES, INC","117-FEE-FOOD-MOBILE-DOGWOOD ENTERPRISES, INC","SBAE-7V9R5Y","Food Establishment","Mobile Food Unit","Surrendered","4","","NULL","Non-Smoking","","NULL","5/13/2008","NULL","NULL","NULL","Mobile Unit","HILLSVILLE","24343","NULL","NULL"
"EHD - Richmond","S&S Caterers","S&S Caterers / Commissary","HMES-7B5R4Y","Food Establishment","Commissary","Surrendered","2","","NULL","Exempt","Grease Trap (Interior)","NULL","1/23/2008","2/13/2008","1/1/2010","12/31/2010","2306#B N. Lombardy Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","S&S Caterers","S&S Caterers #2","HMES-7BAS4E","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Exempt","None","NULL","1/28/2008","2/13/2008","1/1/2010","12/31/2010","2306#B N. Lombardy Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","S&S Caterers","S&S Caterers #1","HMES-7BAS3H","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Exempt","","NULL","1/28/2008","2/13/2008","1/1/2010","12/31/2010","2306#B N. Lombardy Street","Richmond","23220","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-KB’z Kitchen","KB'z Kitchen","STUR-9XHH7J","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Smoke Free","","6","5/21/2015","8/29/2018","1/1/2018","12/31/2018","11201 Oak Grove Road","BRISTOL","24202","NULL","NULL"
"EHD - Richmond","St. Andrew’s Church","St. Andrew's Church","SYOG-58FW5Z","Food Establishment","Commissary","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","1/1/2002","1/1/2002","10/1/2009","9/30/2010","227 South Cherry Street","Richmond","23220","NULL","NULL"
"EHD - Fairfax","Kim Phung Bakery","Kim Phung Bakery","SQRS-9QBKCG","Food Establishment","Carry Out Food Service Only","Permitted","3","","NULL","Smoke Free","Grease Trap (Interior)","4","10/27/2014","11/24/2014","11/25/2014","12/31/2019","6771 Wilson Bv","FALLS CHURCH","22044","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Charley’s Grilled Subs","Charley's Grilled Subs","DVIS-6HZQMA","Food Establishment","Fast Food Restaurant","Surrendered","4","","NULL","Smoke Free","","3","5/18/2005","10/1/2005","1/1/2008","12/31/2013","3101 Lee Hwy","Bristol","24202","NULL","NULL"
"EHD - Richmond","Coppola’s Deli","Coppola's Deli Mobile","#REF!","Food Establishment","Mobile Food Unit","Business Closed","2","YES","YES","Exempt","None","6","7/24/2015","9/8/2015","10/1/2017","9/30/2018","2900 West Cary Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Coppola’s Deli","Coppola's Deli","#REF!","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","None","4","1/1/2002","1/1/2002","7/5/2022","6/30/2023","2900 West Cary Street","Richmond","23221","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-The Lunch Box, (CLOSED)","The Lunch Box","DVIS-6TTJUH","Food Establishment","Carry Out Food Service Only","Surrendered","4","","NULL","","","NULL","9/15/2006","1/3/2007","1/3/2007","12/31/2007","115 Deadmore Street","Abingdon","24210","NULL","NULL"
"EHD - Rappahannock","Uncle Dave’s","Uncle Dave's","DCOO-7RLLGY","Food Establishment","Carry Out Food Service Only","Surrendered","4","","NULL","Smoke Free","","3","4/20/2009","5/4/2009","5/4/2009","12/31/2011","5442 Rosedale Drive","King George","22448","NULL","NULL"
"EHD - Peninsula","Subway #19709","Lightfoot Pitstop","CPUT-5C5NUY","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","","NULL","11/7/2003","12/1/2003","11/20/2006","11/30/2007","708 Lightfoot Road","Williamsburg","23188","NULL","NULL"
"EHD - Peninsula","Subway #19709","Subway #19709","KCAR-8X5HZ3","Food Establishment","Fast Food Restaurant","Surrendered","1","","NULL","Smoke Free","","12","8/13/2012","8/21/2012","8/1/2015","7/31/2016","708 Lightfoot Road","Williamsburg","23188","NULL","NULL"
"EHD - Peninsula","Subway #19709","Subway #19709","KCAR-75UG6P","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","","NULL","8/6/2007","10/18/2007","8/18/2011","9/30/2012","708 Lightfoot Road","Williamsburg","23188","NULL","NULL"
"EHD - Peninsula","Subway #19709","Subway #19709","KCAR-6YDR8H","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","","","NULL","2/13/2007","2/28/2007","2/28/2007","2/29/2008","708 Lightfoot Road","Williamsburg","23188","NULL","NULL"
"EHD - Prince William","Independent Hill Special Ed. School","Independent Hill Special Ed. School","JKOE-53JRK7","Food Establishment","Public Middle or High School Food Service","Surrendered","1","","NULL","Smoke Free","Grease Trap (Interior)","12","9/17/2002","8/18/2004","9/1/2016","8/31/2017","14780 Joplin Rd","Manassas","20112","NULL","NULL"
"EHD - Prince William","Pace East","Pace East","AJOS-894LGS","Food Establishment","Public Elementary School Food Service","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","3","8/27/2010","9/8/2010","9/1/2017","8/31/2018","14780 Joplin Rd","Manassas","20112","NULL","NULL"
"EHD - Prince William","Independent Hill School Snack Bar - FEE EXMEPT","Independent Hill School Snack Bar","JKOE-53JRG3","Food Establishment","Public Elementary School Food Service","Surrendered","1","","NULL","Smoke Free","Grease Trap (Interior)","12","9/17/2002","4/22/2003","9/1/2016","8/31/2017","14780 Joplin Rd","Manassas","20112","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-Chef Heather’s Mobile Unit","Chef Heather's Mobile Unit","DVIS-9ZTJXB","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","Smoke Free","","12","8/28/2015","8/28/2015","1/1/2018","12/31/2018","105 Charwood Drive","ABINGDON","24210","NULL","NULL"
"EHD - Prince William","Potomac Shores Golf Clubhouse","Potomac Shores Golf Clubhouse","AJOS-92XMRD","Food Establishment","Full Service Restaurant/Caterer","Permitted","3","NO","NO","Smoking in designated areas","Grease Trap (Exterior)","3","12/13/2012","3/18/2014","4/1/2019","3/31/2023","1750 Dunnington Pl","Dumfries","22026","NULL","NULL"
"EHD - Arlington","DCA-District Bar","DCA - District Bar","#REF!","Food Establishment","Full Service Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (interior)","6","4/15/2014","4/15/2014","11/18/2022","12/31/2023","WNA-Terminal A-Pre Security-Space #AL205E","Arlington","22202","NULL","NULL"
"EHD - Arlington","DCA-District Bar","Samuel Adams Brewhouse (INACTIVE)","NGOZ-5TWKEY","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","","6","11/12/2003","12/4/2003","11/27/2013","12/31/2014","WNA-Terminal A-Pre Security-Space #AL205E","Arlington","22202","NULL","NULL"
"EHD - Richmond","YWCA Day Care Center","The Sprout School at YWCA Richmond","#REF!","Food Establishment","Child Care Food Service","Voluntary Closure","4","NO","NO","Smoke Free","Grease Trap (Interior)","3","1/1/2002","1/1/2002","12/17/2019","12/31/2020","6 North 5th Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Lemon Cuisine of India","Lemon Cuisine of India","#REF!","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","10/26/2012","11/15/2012","4/20/2022","12/31/2022","3215 West Broad Street","Richmond","23230","NULL","NULL"
"EHD - Prince William","Pizza Boli’s (Formerlly Pizza N Pizza)","Pizza Boli's","AJOS-7HMR34","Food Establishment","Carry Out Food Service Only","Permitted","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","8/18/2008","9/5/2008","10/1/2018","9/30/2019","14690 Lee Hwy","Gainesville","20155","NULL","NULL"
"EHD - Mount Rogers","WALLACE BROTHERS - CLOSED 3-24-2005","WALLACE BROTHERS","CEDS-5HDBW9","Food Establishment","Restaurant","Surrendered","2","","NULL","","","NULL","12/19/2002","1/1/2004","1/1/2005","12/31/2005","212 IMOGENE RD","Lambsburg","24351","NULL","NULL"
"EHD - Rappahannock","Donut Connection","Donut Connection","JDAS-5J2LQ4","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","9/21/2002","9/21/2002","1/1/2005","12/31/2007","20 Plantation Drive #Suite 137","Fredericksburg","22406","NULL","NULL"
"EHD - Rappahannock","Donut Connection","Donut Connection","DCOO-77NK6A","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","10/4/2007","10/5/2007","10/5/2007","12/31/2007","20 Plantation Drive #Suite 137","Fredericksburg","22406","NULL","NULL"
"EHD - Richmond","Mahogany Sweets","Mahogany Sweets","AGML-AR5QHX","Food Establishment","Fast Food Restaurant/Caterer","Business Closed","2","NO","NO","Smoke Free","Other","6","9/11/2017","9/29/2017","11/12/2019","9/30/2020","100 West Clay Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Nettie’s Naturally","Nettie's Naturally","HMES-9YHJBK","Food Establishment","Full Service Restaurant/Caterer","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","7/15/2015","7/17/2015","7/1/2017","6/30/2018","100 West Clay Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Incredible Edibles","Incredible Edibles","AGML-5F2NQR","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Non-Smoking","","NULL","5/30/2002","6/19/2002","7/1/2007","6/30/2008","2201 Sheilds Lake Drive","Richmond","23220","NULL","NULL"
"EHD - Richmond","Maymont Cafe","Maymont Cafe","HMES-7GUR49","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","None","NULL","7/24/2008","10/9/2008","10/9/2010","9/30/2011","2201 Sheilds Lake Drive","Richmond","23220","NULL","NULL"
"EHD - Fairfax","Jerry’s Subs & Pizza","Jerry's Subs & Pizza","MVVE-5CDTVM","Food Establishment","Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","2/1/2001","2/1/2001","2/1/2001","12/31/2005","360 West Broad St","Falls Church","22046","NULL","NULL"
"EHD - Fairfax","Jerry’s Subs & Pizza","Jerry's Subs & Pizza","SSOI-6F3LAA","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","","4","8/5/2005","8/30/2005","9/6/2005","12/31/2010","360 West Broad St","Falls Church","22046","NULL","NULL"
"EHD - Mount Rogers","110-Fee-Food, Imma Hungry","Imma Hungry","CUMR-AZJQMC","Food Establishment","Mobile Food Unit","Pending","2","","NULL","Smoke Free","","6","6/7/2018","NULL","NULL","NULL","137 Apple Ln.","BLAND","24315","NULL","NULL"
"EHD - Peninsula","Shy Dog","Shy Dog/Hot Dog Express","AMAS-5M3HQL","Food Establishment","Mobile food unit","Surrendered","1","","NULL","","","NULL","4/28/2003","4/29/2003","4/29/2003","4/30/2004","801 Merrimac Trail","Williamsburg","23185","NULL","NULL"
"EHD - Richmond","Meriwether Godsey @ St. Catherine’s School","Meriwether Godsey @ St. Catherine's School","#REF!","Food Establishment","Private Middle or High School Food Service","Permitted","3","NO","NO","Smoke Free","Grease Trap (Exterior)","4","1/1/2002","1/1/2002","1/31/2023","12/31/2023","6001 Grove Avenue","Richmond","23226","NULL","NULL"
"EHD - Rappahannock","Julia’s Carry Out","Julia's Carry Out","DCOO-8TQGYA","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","Smoke Free","","NULL","4/25/2012","NULL","NULL","NULL","1006 Richmond Drive","Stafford","22554","NULL","NULL"
"EHD - Central Shenandoah","Alsultan Restaurant Cafe, LLC","Al Sultan Restaurant & Cafe","AFRY-AQYNCX","Food Establishment","Full Service Restaurant","Surrendered","","","NULL","Smoke Free","","NULL","9/7/2017","NULL","NULL","9/30/2018","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","Alsultan Restaurant Cafe, LLC","Pupuseria Restaurant Sonias","PKYE-6QTLM2","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","6/15/2006","7/1/2006","7/1/2009","6/30/2010","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","Alsultan Restaurant Cafe, LLC","Alsultan Restaurant Cafe, LLC","660-FD-60150","Food Establishment","Full Service Restaurant","Business Closed","2","NO","NO","Smoke Free","Grease Trap (interior)","6","3/2/2018","3/12/2018","4/1/2019","3/31/2020","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","Alsultan Restaurant Cafe, LLC","Pupuseria Salvadorena, LC","JGAR-5CUHRA","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","","","NULL","10/7/2003","11/1/2003","11/1/2005","10/31/2006","NULL","NULL","NULL","NULL","NULL"
"EHD - Central Shenandoah","Alsultan Restaurant Cafe, LLC","Al Sultan Restaurant & Cafe","PKIE-9MAQZW","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","","6","7/23/2014","10/1/2014","10/1/2016","9/30/2017","NULL","NULL","NULL","NULL","NULL"
"EHD - Prince William","Hospitality Solutions","Hospitality Solutions","JSUZ-55EMF2","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","","","NULL","9/11/2002","11/25/2002","11/3/2005","11/25/2006","4316 Inn St","Triangle","22172","NULL","NULL"
"EHD - Prince William","Ramada Quantico","Ramada Quantico","AJOS-ANBJGE","Food Establishment","Hotel Continental Breakfast","Pending","","NO","NO","Smoke Free","Grease Trap (Interior)","","5/23/2017","NULL","NULL","NULL","4316 Inn St","Triangle","22172","NULL","NULL"
"EHD - Rappahannock","Southern Sno Commissary","Southern Sno","JCRS-5A5H7E","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","0","","NULL","4/17/2001","4/17/2001","4/1/2004","12/31/2006","1900 Carl D. Silver Parkway","Fredericksburg","22401","NULL","NULL"
"EHD - Rappahannock","Southern Sno Commissary","Southern Sno Commissary","JWES-5N7PFU","Food Establishment","Commissary","Surrendered","1","","NULL","","","NULL","11/1/2002","11/1/2002","4/18/2004","3/31/2005","1900 Carl D. Silver Parkway","Fredericksburg","22401","NULL","NULL"
"EHD - Rappahannock","Southern Sno Commissary","Southern Sno","JCRS-5A5H8J","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","0","","NULL","4/17/2001","4/17/2001","4/1/2004","12/31/2006","1900 Carl D. Silver Parkway","Fredericksburg","22401","NULL","NULL"
"EHD - Rappahannock","Southern Sno Commissary","Southern Sno","JCRS-57BJBF","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","0","","NULL","4/17/2001","4/17/2001","4/1/2005","12/31/2006","1900 Carl D. Silver Parkway","Fredericksburg","22401","NULL","NULL"
"EHD - Prince William","Hibachi Buffet & Sushi","Hibachi Buffet & Sushi","AJOS-7JAK5Y","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Exterior)","12","9/4/2008","6/4/2009","7/1/2019","6/30/2021","8121 Sudley Rd","Manassas","20109","NULL","NULL"
"EHD - Rappahannock","Full O’Beans","Full O'Beans","JDAS-6KYHT9","Food Establishment","Other Food Service","Surrendered","2","","NULL","","","NULL","1/12/2006","NULL","NULL","NULL","0 Southpoint Parkway","Fredericksburg","22407","NULL","NULL"
"EHD - Alleghany-Roanoke","3117 Franklin Road SW","SoRo Chill & Grille","KHAN-7SNNMD","Food Establishment","Full Service Restaurant","Business Closed","1","NO","NO","Outdoor smoking area","Grease Trap (Exterior)","","6/2/2009","9/11/2009","9/11/2011","9/10/2012","3117 Franklin Road SW","Roanoke","24014","NULL","NULL"
"EHD - Alleghany-Roanoke","3117 Franklin Road SW","Mamma Maria's","#REF!","Food Establishment","Full Service Restaurant","Out of Business","4","NO","NO","Smoke Free","Grease Trap (Interior)","3","4/22/2013","5/6/2013","5/6/2014","5/31/2015","3117 Franklin Road SW","Roanoke","24014","NULL","NULL"
"EHD - Alleghany-Roanoke","3117 Franklin Road SW","The Library Restaurant","KCHS-5BPPCF","Food Establishment","Full Service Restaurant","Surrendered","4","YES","YES","Smoke Free","Grease Trap (Interior)","3","8/31/2003","9/1/2003","9/1/2012","8/31/2013","3117 Franklin Road SW","Roanoke","24014","NULL","NULL"
"EHD - Alleghany-Roanoke","3117 Franklin Road SW","La Elenita Authentic Mexican Cuisine","#REF!","Food Establishment","Full Service Restaurant","Out of Business","2","NO","NO","Smoke Free","None","6","4/30/2015","6/5/2015","7/1/2015","6/30/2016","3117 Franklin Road SW","Roanoke","24014","NULL","NULL"
"EHD - Prince William","Old Hickory Golf Club","Old Hickory Snack Bar","AVEA-5NMHU7","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","6/18/2003","7/15/2003","7/20/2004","7/15/2005","11921 Chanceford Dr","Woodbridge","22192","NULL","NULL"
